country_code,name,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020
900000,World,2536431017.9999995,2773019915,3034949715,3339583510.0000005,3700437041.9999995,4079480474,4458003466,4870921665.999999,5327231040.999999,5744212930,6143493806.000001,6541906955.999999,6956823588,7379796966.999999,7794798729
947000,Sub-Saharan Africa,179006529.99999997,197489512,220137978,247830918.99999994,280908111.00000006,321200537,369613669.0000001,425840824,490604852,560759472,639661386,729733003,836363757,958577201.0000001,1094365605
1833000,Northern Africa and Western Asia,100239140.00000001,113425337,129301678.99999999,147821732.99999997,168730175.00000006,192351448.99999997,220224392,253469194,288060443,323178116.99999994,355881668,391985542.99999994,435366790,481520014.99999994,525869281.9999999
921000,Central and Southern Asia,510788120.0000001,558665566.0000001,619067700,691686855,775436811,870180427.0000001,980358988.0000001,1105791297.0000002,1239984308.0000002,1376199571,1511915309.9999995,1647073788.9999998,1775360533.0000002,1896327293,2014708531
1832000,Eastern and South-Eastern Asia,842669339,932210416.0000001,1019894871.0000001,1127782030,1280852786.0000002,1432113687.0000002,1555767503,1684698035,1837799003.9999998,1950219949.9999998,2044789219.9999998,2125348402.0000007,2201806674.0000005,2279489615.9999995,2346709481
1830000,Latin America and the Caribbean,168820523.99999997,192727225,220469724,252455927,286675705,322777147,361253181,402023662,442840078.0000001,483018226,521836322.00000006,557500980.9999999,591352345,623934125.9999998,653962331.9999999
927000,Australia/New Zealand,10085359,11302088.000000004,12614669.000000002,13939835.000000002,15611420.999999998,16855912,17735010.000000004,18931906.000000004,20358775,21668023,22850426.000000004,24313895.999999993,26524747.000000004,28547025.999999996,30322113.999999996
1835000,Oceania (excluding Australia and New Zealand),2890536,3090601.999999999,3406963.0000000005,3828858.9999999995,4310804,4854363,5477074.000000001,6219134.999999998,6939919,7721606.000000002,8574660.999999998,9376317,10348321.999999998,11311666.999999998,12355695.000000002
1829000,Europe and Northern America,721931470,764109169,810056130.9999998,854237352,887911229,919146952.0000001,947573649,973947612.9999999,1000643662,1021447965.0000001,1037984813.0000001,1056575024.9999999,1079700420,1100090022.9999998,1116505688.9999998
903000,Africa,227794137,252748917.00000003,283361171.00000006,320147295.00000006,363447593,414674675.99999994,476386225,548626140.0000001,630349684.9999999,717270111.9999998,810984232.0000001,916154285.0000001,1039304030,1182438803.0000002,1340598113.0000005
935000,Asia,1404908992,1549041913.9999998,1705041057,1894974242,2142480290.0000005,2401171424,2649578326.9999995,2921173210,3226098922,3493086997.9999995,3741263352.000001,3977986452.0000005,4209593723.9999995,4433475322.000001,4641054786
908000,Europe,549328858.9999999,576678764.0000001,605406966,634783190.9999999,656919369.9999999,676895456.9999999,693566516.0000001,707584186.0000001,720858410.9999999,726994433,725558027.9999999,729287880.9999999,736412998,743058978.0000001,747636045
904000,Latin America and the Caribbean,168820523.99999997,192727225,220469724,252455927,286675705,322777147,361253181,402023662,442840078.0000001,483018226,521836322.00000006,557500980.9999999,591352345,623934125.9999998,653962331.9999999
905000,Northern America,172602610.99999997,187430405,204649165.00000003,219454161.00000003,230991859,242251495,254007133.00000003,266363427.00000003,279785250.99999994,294453532,312426785.00000006,327287144,343287422,357031045.00000006,368869644
909000,Oceania,12975895,14392690,16021632.000000002,17768694,19922225,21710274.999999996,23212084,25151040.999999996,27298694.000000004,29389629,31425087,33690212.99999999,36873069,39858693,42677808.99999999
